month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,75.30568622924507,2550.349516163909,2602.4060940173595,8.509653927329346,7.818383723085759
2,117.02273469868895,1058.9095992758841,1127.8720413079227,8.028166618667745,7.438858557807809
3,173.6277468897581,884.9773872816737,944.0541390232428,8.491156566842289,8.150907090226081
4,139.67633581008354,303.3590080666572,359.09161351788873,8.656322614609321,8.25731011380713
5,58.78037645757277,-0.3933319338071648,29.554255480287715,8.61223782914208,8.102755096449698
6,38.41714139549588,297.47780364358096,306.7823907665119,8.503882280081255,8.261683449018555
7,33.58265042519836,995.1075215115934,1004.9703628446284,8.758032182997107,8.464343600579323
8,7.025905923982738,1062.6515823740965,1065.4777992405716,8.514226115744354,8.111969548862522
9,218.29347434377317,595.9488322603912,653.7563668816352,8.705035186162528,8.440219517200877
10,126.44570965922269,870.3111861973591,929.5377589447276,8.305304272083635,7.836909008673514
11,213.3947521019056,810.4537495574677,889.3257115750623,8.264454371881321,7.894848469642534
12,156.57313933769524,836.6497548166772,876.4174816883985,8.41967538956746,8.165687218453261
