month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,9.067127566053612,708.6607528548387,713.1255762500685,13.393993285448683,12.90157457047721
2,34.67448522054097,570.9430655163691,578.9765495321135,12.277237353062263,12.045554499866203
3,12.251657602657438,537.6633815580645,541.1002028204605,12.38623827426197,12.105719404788022
4,20.205104682087637,505.55111864444444,508.8936255969687,12.98762843966512,12.822199613481583
5,19.028911103957594,453.74874569354836,459.18999937231183,13.368032361389522,13.082085705863726
6,44.50231112151963,391.78983485277786,394.0130218575731,13.430725062604425,13.380768408584785
7,176.94147111199845,477.56898036290323,496.0940479990917,13.318288762126446,13.213592753043036
8,38.475168994021764,445.0294884623657,449.57911197307857,13.318633942083956,13.200385647276775
9,8.124657880731082,457.87626133055556,458.73216270473637,11.416186088313102,11.310839954912934
10,43.45332173809839,541.084860126344,547.9438619489259,11.470528138319438,11.312680565022527
11,47.93362701382908,598.7832564306451,603.0121866048429,11.279556145168161,11.191331448680215
12,9.214782797367834,540.1754321491936,541.8886711512292,11.32942551962274,11.14350264465523
