month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,23.492213965283515,649.8930272325977,665.8412985393979,16.238396376520534,15.559521618464682
2,6.933631383228078,480.8670834586466,494.36485784738557,17.407783702172033,15.461073014313328
3,24.646642110936924,510.4106723409443,528.9365715199506,17.325315108734948,16.573654949547624
4,26.98062469192333,422.2340860640817,439.7249353615857,15.709673490753639,15.061399063181408
5,47.0218201443434,422.32417425042655,446.1898645528475,16.19558009376075,15.688035091058984
6,27.55879398759888,432.4015565277778,470.6455190219799,16.620850872748736,15.233128237432275
7,27.62567953416526,504.1634519489247,533.9383378132045,15.210545263116396,14.132747862650653
8,36.778228123651814,507.6338086021505,544.1330451312181,15.601136843291249,14.608722634575933
9,50.1827790272036,487.78423981712393,515.8284426228842,13.905124983550254,13.346283826333154
10,26.970777049979436,529.4078043466602,541.1676553393481,14.091802123358859,13.655780176301567
11,37.3998051409823,569.6856433365818,584.9348568538119,14.024594866757438,13.616859770658714
12,18.403602532617505,511.9695139909667,523.5239158559826,15.454380698918865,14.82654700926481
