month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,273.63213565489565,2367.537230063122,3184.688433965981,8.545917959493213,5.559604969570395
2,793.5168019404896,933.3682025533592,1700.2310194533502,6.927845141399943,5.961434843483738
3,11.308807964799557,760.2930530886204,786.7849509169221,9.152092106087071,6.809502347938039
4,975.7186382848912,243.89110358783307,1519.3712298821665,7.775639744488984,6.468418516472705
5,295.47217731888963,-38.88189244807302,1281.6408668612648,9.873988397715777,5.404793469323463
6,47.33786321029866,279.0446282302793,373.25938261710866,9.12097414385912,7.13071206770876
7,1.3405169674030297,933.6272575760497,935.9280914308774,8.609068873373582,6.892690865954602
8,557.5821524782349,979.9026631274307,1324.1517632633957,7.187147937277622,6.569751750850043
9,340.17422238295995,560.7373705079037,1218.7674426566,8.7262329341938,6.79184159749175
10,728.3105822234936,806.0831829351695,1315.4260065823894,7.438589155065901,6.739240788042155
11,4.630072768045516,752.8250257121294,763.266247389545,8.53148283077133,6.276394810735226
12,162.86658470577203,789.0565807392807,1141.5203267885906,8.73647591232534,6.572350318009044
