month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,-0.0,258.973686,258.973686,14.14851668636446,14.14851668636446
2,5.350671999034,-70.53689051580699,-60.89051181364566,15.995899427625224,14.193064447197317
3,82.35933169040112,-143.0495641791045,-44.17684378111197,15.612746029393296,14.412241878314534
4,58.302071640236164,12.103385985160756,88.03237197030266,15.502535121009739,14.200197429295194
5,75.2584686064637,25.430800977995112,152.5153134474111,15.436646431009196,13.748005749501674
6,150.78345693857028,167.99902168256722,417.90875281873366,14.386461131328192,12.72905298654646
7,78.3638619627702,-9.599389165950127,193.25389578672153,15.669996556864868,13.081389013946598
8,150.62751591656618,335.4528817021276,568.5252725105968,16.146562018388902,14.59921930425097
9,50.38699725680763,330.07709158878504,430.2379738317597,14.8473654058447,12.859533481100023
10,11.320076811662872,65.20232027027028,82.70675270270272,15.808343398843684,14.262025947958795
11,140.22912860120812,157.00693846153848,246.97085427134158,15.252956389441286,14.61140698166199
12,24.06463365268844,714.9728072013093,775.1137924713585,16.82433696743237,14.325192958120427
