month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,2.3361252437218307,716.3127741935484,724.4603870967742,11.254998805925812,7.767337816104895
2,2.1502427559848165,807.4897142857144,809.7308571428564,8.678972125766373,7.636697792135091
3,58.82545549773939,545.4458666666667,561.6954838709648,7.228254022789403,6.952019585188354
4,21.976690665126263,456.46986666666663,479.8138666666667,7.653171364924217,6.590955031448831
5,7.861286087670526,350.56774193548387,358.5636129032257,9.038096085237775,8.020976138201434
6,7.6645086635145825,455.3631999999999,458.7120000000001,8.414403544777246,7.97748057027577
7,11176.25505059002,586.5445161290321,607.6196129032259,8.960996011520717,8.959110318601555
8,69.02113492925207,442.2952258064517,472.9569032258064,9.608233779009346,9.163997723479802
9,3.812201416036583,473.10400000000004,476.6005333333333,8.895930199469257,7.978734880118453
10,31.448854916437075,408.26012903225796,448.1656774193549,7.773917999178881,6.505014944404975
11,4.76893326181171,589.8143999999999,602.1855999999981,8.828297385440461,6.234174282193448
12,94.68795629938613,585.8410322580644,618.3241290322582,8.454833825311852,8.111779680974756
