month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,451.70879441465297,1131.8511544453308,1158.8888868665372,8.499726604645472,8.439870059370202
2,383.9057904101098,1598.1708548427637,1639.8403179616657,8.371636056310004,8.26309521029846
3,368.3105993380359,798.2953852681812,832.049524288558,8.985863869856972,8.894218026924575
4,195.75839395468648,655.2883814708299,683.0358084771295,9.142679155304622,9.000935935572555
5,102.40374971309616,573.367617896921,586.7509154353278,8.909536703249422,8.778845233924665
6,97.74679551569336,771.756766937533,781.8322361776379,10.081996206982508,9.978918983739733
7,183.9612560337207,940.4335698969127,950.7250889027995,9.571138413854268,9.51519447550462
8,59.20618754504281,623.5812293267724,633.304077980971,9.997812309099077,9.833592174932528
9,266.98104705167077,683.9168028653002,703.9774176834416,9.521250123853925,9.446111411312849
10,140.88970083837427,598.9562097490184,616.8099148990782,9.185768972977035,9.059047831297246
11,171.70337379955808,906.5476030108815,925.7910534775688,8.976183080425821,8.86410928522994
12,291.957541339458,875.8046576503755,905.1963143114058,8.505950857538583,8.405279870906039
