month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,80.15702494706252,753.5867255008486,770.941745942275,16.708745222679884,16.49223245101305
2,34.76560682503663,556.3294692857143,577.378225300752,16.33355818638876,15.728110515841463
3,58.10688292542941,588.3819557467297,601.8221821084207,17.291407212937774,17.060105427263423
4,105.43950317586734,522.6245402982714,548.2990060533114,15.780545124134441,15.537045639336782
5,157.20962972364714,588.9008926491699,616.6193956014195,16.10546016687403,15.929144622916075
6,152.8533148945634,653.6035859027777,712.8701662499999,15.692870722762525,15.305135730822242
7,192.99208382525444,767.2753146841399,827.0238460685484,14.909358913679837,14.599768342552643
8,271.62363031950906,748.0256393817206,822.0032063844088,15.264084352042923,14.991731154350099
9,190.83186085396613,651.2678841438071,690.6362849473539,14.264244214359465,14.05794533575997
10,100.39230545147313,684.1130242941035,705.5612686026869,14.70769985282456,14.49405555799334
11,95.7284255431179,667.9034669982133,684.2890458981856,14.547961800188268,14.376794481288746
12,96.4281106778174,592.489562297886,610.7082348932304,15.54877898233467,15.35984370710217
