month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,100.36324961271286,813.0323789495967,850.3379393568548,13.009551318361945,12.637845942663347
2,84.83264580754555,657.0857548028275,677.0944867522322,12.934424252527357,12.698563035296543
3,88.08750466958202,620.4283492355511,643.7679139577285,12.823789085442286,12.558830236524388
4,78.3691213020446,616.1044423041668,630.4584451291668,13.473078233245648,13.289919333377592
5,267.04292555093895,603.0796676525539,640.3356281780915,13.662098320577764,13.522585327382961
6,685.6445725369982,566.2879567895834,579.5152756687501,14.17084865411014,14.15155686277607
7,337.284049229366,789.2260212634408,823.2464638951612,14.363665877753753,14.262800036820538
8,257.77024365454923,636.7580806108871,674.7601687022849,14.383903971047735,14.236477778734304
9,190.68589099511863,634.8576255604167,652.0385360326388,12.369418282424169,12.279317706677833
10,116.37430055303787,731.6350523004032,750.5834151364248,12.332348342313814,12.169525781127783
11,80.61701561160882,701.979840503741,710.1976529555778,12.09831051179533,11.996374070917167
12,159.48214575172884,623.758502139113,642.4692004926076,11.893948860266335,11.776627283794692
