month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,163.02230484235182,438.19054838709684,618.3368817204222,11.261542027178631,10.156501021426013
2,121.98516364649421,382.92913095238094,504.0204523809524,11.40553136608298,10.41285884272895
3,216.99718685608303,440.71562580645167,689.4646544802973,12.419307371299157,11.272983632693046
4,202.8555860608502,367.1120888888889,536.1699555555555,11.842597874038857,11.0092076385469
5,311.3327037001846,421.1222043010753,691.2015806451612,13.202674203605687,12.335179815702105
6,2238.071768675588,423.088711111111,2151.243977777777,12.95465791183131,12.182495343823668
7,939.4621644784253,458.10437634408606,1813.3311840851486,14.279277735514585,12.836721718265245
8,5349.632842273269,535.9902043010753,9951.63850196878,13.568085617588004,11.808030577965827
9,654.5868591696711,462.4652888888889,1140.0123027480815,13.641508401409276,12.60643261609214
10,268.86785726222695,493.8484193548386,737.1665483870968,13.12876280171688,12.22378989487264
11,296.24145439655706,505.3847287356322,799.4005659003831,13.060647781552225,12.068160640273346
12,84.18685671988331,362.1728494623656,461.10999999999996,11.291121023420573,10.115912047214685
