label,utility,type,assessed,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
6311455ba52f2a7b8e64c265,electric,customer,,,,,,,,,,,175.08,175.08,$/month,https://lite.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf	http://www.coned.com/rates/elec.asp
6311455ba52f2a7b8e64c265,electric,demand,,flat,0,0,1,5,0,24,0,6,0.0,0.0,$/kW,
6311455ba52f2a7b8e64c265,electric,demand,,flat,5.0,5.0,1,5,0,24,0,6,23.26,23.26,$/kW,
6311455ba52f2a7b8e64c265,electric,demand,,flat,5.0,5.0,6,9,0,24,0,6,0.0,0.0,$/kW,
6311455ba52f2a7b8e64c265,electric,demand,,flat,5.0,5.0,6,9,0,24,0,6,41.48,41.48,$/kW,
6311455ba52f2a7b8e64c265,electric,demand,,flat,5.0,5.0,10,12,0,24,0,6,0.0,0.0,$/kW,
6311455ba52f2a7b8e64c265,electric,demand,,flat,5.0,5.0,10,12,0,24,0,6,23.26,23.26,$/kW,
6311455ba52f2a7b8e64c265,electric,demand,,period0,0,0,1,12,0,24,0,4,5.89,5.89,$/kW,
6311455ba52f2a7b8e64c265,electric,demand,,period0,0,0,1,12,0,24,5,6,5.89,5.89,$/kW,
6311455ba52f2a7b8e64c265,electric,energy,,period0,0,0,1,12,0,24,0,4,0.044236,0.044236,$/kWh,
6311455ba52f2a7b8e64c265,electric,energy,,period0,0,0,1,12,0,24,5,6,0.044236,0.044236,$/kWh,
