label,utility,type,assessed,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
62c76307149d2a3a99456678,electric,customer,,,,,,,,,,,207.7,207.7,$/month,https://www.nvenergy.com/publish/content/dam/nvenergy/brochures_arch/about-nvenergy/rates-regulatory/electric-schedules-south/StatementofRates.pdf	https://www.nvenergy.com/about-nvenergy/rates-regulatory/electric-schedules-south
62c76307149d2a3a99456678,electric,demand,,flat,0,0,1,12,0,24,0,6,2.34,2.34,$/kW,
62c76307149d2a3a99456678,electric,demand,,period3,0,0,1,5,0,24,0,4,0.6,0.6,$/kW,
62c76307149d2a3a99456678,electric,demand,,period2,0,0,6,9,0,10,0,4,0.0,0.0,$/kW,
62c76307149d2a3a99456678,electric,demand,,period1,0,0,6,9,10,13,0,4,2.47,2.47,$/kW,
62c76307149d2a3a99456678,electric,demand,,period0,0,0,6,9,13,19,0,4,10.59,10.59,$/kW,
62c76307149d2a3a99456678,electric,demand,,period1,0,0,6,9,19,22,0,4,2.47,2.47,$/kW,
62c76307149d2a3a99456678,electric,demand,,period2,0,0,6,9,22,24,0,4,0.0,0.0,$/kW,
62c76307149d2a3a99456678,electric,demand,,period3,0,0,10,12,0,24,0,4,0.6,0.6,$/kW,
62c76307149d2a3a99456678,electric,demand,,period3,0,0,1,5,0,24,5,6,0.6,0.6,$/kW,
62c76307149d2a3a99456678,electric,demand,,period2,0,0,6,9,0,10,5,6,0.0,0.0,$/kW,
62c76307149d2a3a99456678,electric,demand,,period1,0,0,6,9,10,13,5,6,2.47,2.47,$/kW,
62c76307149d2a3a99456678,electric,demand,,period0,0,0,6,9,13,19,5,6,10.59,10.59,$/kW,
62c76307149d2a3a99456678,electric,demand,,period1,0,0,6,9,19,22,5,6,2.47,2.47,$/kW,
62c76307149d2a3a99456678,electric,demand,,period2,0,0,6,9,22,24,5,6,0.0,0.0,$/kW,
62c76307149d2a3a99456678,electric,demand,,period3,0,0,10,12,0,24,5,6,0.6,0.6,$/kW,
62c76307149d2a3a99456678,electric,energy,,period3,0,0,1,5,0,24,0,4,0.0741,0.0741,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period2,0,0,6,9,0,10,0,4,0.07053,0.07053,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period1,0,0,6,9,10,14,0,4,0.08709,0.08709,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period0,0,0,6,9,14,19,0,4,0.10763,0.10763,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period1,0,0,6,9,19,22,0,4,0.08709,0.08709,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period2,0,0,6,9,22,24,0,4,0.07053,0.07053,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period3,0,0,10,12,0,24,0,4,0.0741,0.0741,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period3,0,0,1,5,0,24,5,6,0.0741,0.0741,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period2,0,0,6,9,0,10,5,6,0.07053,0.07053,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period1,0,0,6,9,10,13,5,6,0.08709,0.08709,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period0,0,0,6,9,13,19,5,6,0.10763,0.10763,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period1,0,0,6,9,19,22,5,6,0.08709,0.08709,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period2,0,0,6,9,22,24,5,6,0.07053,0.07053,$/kWh,
62c76307149d2a3a99456678,electric,energy,,period3,0,0,10,12,0,24,5,6,0.0741,0.0741,$/kWh,
