label,utility,type,assessed,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
6320e4bba01f872b1d3a204a,electric,customer,,,,,,,,,,,175.0,175.0,$/month,https://www.midamericanenergy.com/media/pdf/iowa-electric-tariffs.pdf	https://www.midamericanenergy.com/rates-tariffs
6320e4bba01f872b1d3a204a,electric,demand,,period0,0,0,1,5,0,24,0,4,3.74,3.74,$/kW,
6320e4bba01f872b1d3a204a,electric,demand,,period1,0,0,6,9,0,24,0,4,3.99,3.99,$/kW,
6320e4bba01f872b1d3a204a,electric,demand,,period0,0,0,10,12,0,24,0,4,3.74,3.74,$/kW,
6320e4bba01f872b1d3a204a,electric,demand,,period0,0,0,1,5,0,24,5,6,3.74,3.74,$/kW,
6320e4bba01f872b1d3a204a,electric,demand,,period1,0,0,6,9,0,24,5,6,3.99,3.99,$/kW,
6320e4bba01f872b1d3a204a,electric,demand,,period0,0,0,10,12,0,24,5,6,3.74,3.74,$/kW,
6320e4bba01f872b1d3a204a,electric,energy,,period0,0,0,1,5,0,24,0,4,0.054400000000000004,0.054400000000000004,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period0,200.0,200.0,1,5,0,24,0,4,0.05341,0.05341,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period0,400.0,400.0,1,5,0,24,0,4,0.05244,0.05244,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period1,400.0,400.0,6,9,0,24,0,4,0.08838000000000001,0.08838000000000001,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period1,200.0,200.0,6,9,0,24,0,4,0.0784,0.0784,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period1,400.0,400.0,6,9,0,24,0,4,0.07174,0.07174,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period0,400.0,400.0,10,12,0,24,0,4,0.05244,0.05244,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period0,0,0,1,5,0,24,5,6,0.054400000000000004,0.054400000000000004,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period0,200.0,200.0,1,5,0,24,5,6,0.05341,0.05341,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period0,400.0,400.0,1,5,0,24,5,6,0.05244,0.05244,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period1,400.0,400.0,6,9,0,24,5,6,0.08838000000000001,0.08838000000000001,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period1,200.0,200.0,6,9,0,24,5,6,0.0784,0.0784,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period1,400.0,400.0,6,9,0,24,5,6,0.07174,0.07174,$/kWh,
6320e4bba01f872b1d3a204a,electric,energy,,period0,400.0,400.0,10,12,0,24,5,6,0.05244,0.05244,$/kWh,
