label,utility,type,assessed,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
6318d1e83c42094c556d25fa,electric,customer,,,,,,,,,,,81.63,81.63,$/month,https://www.pnm.com/documents/28767612/28775078/schedule_3_b.pdf/7f3f583a-6ad2-482b-9fbb-6b6ead748517?t=1546449910860	https://www.pnm.com/rates
6318d1e83c42094c556d25fa,electric,demand,,period2,0,0,1,5,0,8,0,4,0.0,0.0,$/kW,
6318d1e83c42094c556d25fa,electric,demand,,period1,0,0,1,5,8,20,0,4,19.02,19.02,$/kW,
6318d1e83c42094c556d25fa,electric,demand,,period2,0,0,1,5,20,24,0,4,0.0,0.0,$/kW,
6318d1e83c42094c556d25fa,electric,demand,,period2,0,0,6,8,0,8,0,4,0.0,0.0,$/kW,
6318d1e83c42094c556d25fa,electric,demand,,period0,0,0,6,8,8,20,0,4,25.47,25.47,$/kW,
6318d1e83c42094c556d25fa,electric,demand,,period2,0,0,6,8,20,24,0,4,0.0,0.0,$/kW,
6318d1e83c42094c556d25fa,electric,demand,,period2,0,0,9,12,0,8,0,4,0.0,0.0,$/kW,
6318d1e83c42094c556d25fa,electric,demand,,period1,0,0,9,12,8,20,0,4,19.02,19.02,$/kW,
6318d1e83c42094c556d25fa,electric,demand,,period2,0,0,9,12,20,24,0,4,0.0,0.0,$/kW,
6318d1e83c42094c556d25fa,electric,demand,,period2,0,0,1,12,0,24,5,6,0.0,0.0,$/kW,
6318d1e83c42094c556d25fa,electric,energy,,period3,0,0,1,5,0,8,0,4,0.0213777,0.0213777,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period2,0,0,1,5,8,20,0,4,0.0333034,0.0333034,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period3,0,0,1,5,20,24,0,4,0.0213777,0.0213777,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period1,0,0,6,8,0,8,0,4,0.0213777,0.0213777,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period0,0,0,6,8,8,20,0,4,0.038942599999999994,0.038942599999999994,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period1,0,0,6,8,20,24,0,4,0.0213777,0.0213777,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period3,0,0,9,12,0,8,0,4,0.0213777,0.0213777,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period2,0,0,9,12,8,20,0,4,0.0333034,0.0333034,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period3,0,0,9,12,20,24,0,4,0.0213777,0.0213777,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period3,0,0,1,5,0,24,5,6,0.0213777,0.0213777,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period1,0,0,6,8,0,24,5,6,0.0213777,0.0213777,$/kWh,
6318d1e83c42094c556d25fa,electric,energy,,period3,0,0,9,12,0,24,5,6,0.0213777,0.0213777,$/kWh,
