label,utility,type,assessed,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
5b86dea55457a3a3178b4568,electric,customer,,,,,,,,,,,17.7,17.7,$/month,https://www.blackhillsenergy.com/sites/default/files/bhp-sd-rates.pdf	http://www.blackhillspower.com/rates
5b86dea55457a3a3178b4568,electric,demand,,flat,0,0,1,12,0,24,0,6,7.4,7.4,$/kW,
5b86dea55457a3a3178b4568,electric,demand,,flat,50.0,50.0,1,12,0,24,0,6,6.9,6.9,$/kW,
5b86dea55457a3a3178b4568,electric,energy,,period0,0,0,1,12,0,24,0,4,0.09604,0.09604,$/kWh,
5b86dea55457a3a3178b4568,electric,energy,,period0,6000.0,6000.0,1,12,0,24,0,4,0.0901,0.0901,$/kWh,
5b86dea55457a3a3178b4568,electric,energy,,period0,0,0,1,12,0,24,5,6,0.09604,0.09604,$/kWh,
5b86dea55457a3a3178b4568,electric,energy,,period0,6000.0,6000.0,1,12,0,24,5,6,0.0901,0.0901,$/kWh,
