region,month,mef_savings,aef_savings,dam_savings,tariff_savings
CAISO,1,33.45528960067073,22.76712226392661,34.91129283614148,0.0
CAISO,2,26.52443106720916,28.705852016926748,57.8893611109084,0.0
CAISO,3,24.495388784505526,25.6427859189015,137.53657441413569,0.0
CAISO,4,24.013955881710103,31.082289501840535,162.1820114743163,0.0
CAISO,5,37.530217217461626,22.844595779599306,164.12278982518754,0.0
CAISO,6,21.310399226732585,24.52798293525321,68.22388817658327,0.0
CAISO,7,28.65732639896057,22.052943721413328,41.543920053718686,0.0
CAISO,8,27.809258432731706,24.969772853091122,42.43732796178803,0.0
CAISO,9,26.281778323388735,32.021879285637205,50.39733680795817,0.0
CAISO,10,21.995581496694705,31.712643592534423,39.50043001327596,0.0
CAISO,11,27.567047598815037,29.441233041657135,50.89748489419479,0.0
CAISO,12,23.943365985560046,23.865080441180606,35.05722333684242,0.0
SPP,1,9.382818240726921,9.731994195111973,56.94061025504195,0.0
SPP,2,26.000958259601926,5.586225808146823,120.61602577472269,0.0
SPP,3,9.133939842134886,11.463327168960022,151.14104329642797,0.0
SPP,4,18.108579736501895,13.543422645810926,97.47603618614225,0.0
SPP,5,13.809376740860708,17.397333140810463,93.54947518808385,0.0
SPP,6,18.04100439920248,15.028099440779783,72.05083091698903,0.0
SPP,7,21.705887490869365,14.219974571622487,102.44936643894634,0.0
SPP,8,24.048681513977435,12.382063841757539,65.81044856356887,0.0
SPP,9,18.010180347607267,18.743797559954647,36.15744866228754,0.0
SPP,10,18.068508773790818,12.73714922207226,89.27883474808782,0.0
SPP,11,18.940280131700185,9.480363721105885,66.5701277638808,0.0
SPP,12,10.602903733115578,11.882366868441819,25.94355056900263,0.0
ERCOT,1,16.66019505813642,9.976335870968882,58.280996760209874,0.0
ERCOT,2,17.411928873467996,9.694300483697427,42.268503102769785,0.0
ERCOT,3,21.43391838593652,10.629700995785248,45.02765566665795,0.0
ERCOT,4,11.074066836553587,9.898936387232142,57.08241677538097,0.0
ERCOT,5,21.20375926228627,7.120317520475109,68.3948248154517,0.0
ERCOT,6,20.07448319231565,9.98389352389082,49.7472816664163,0.0
ERCOT,7,25.993743585134407,10.107963734425141,46.963334795773406,0.0
ERCOT,8,34.208388725916365,11.73120789544837,61.712277473328164,0.0
ERCOT,9,26.459545626925678,10.559174651925805,44.96033287639486,0.0
ERCOT,10,35.987050670059595,8.479079723392374,55.08392285993337,0.0
ERCOT,11,15.456446068531054,8.636387978164173,43.22207658176622,0.0
ERCOT,12,16.43730811739646,18.671376292497957,33.80169943756992,0.0
PJM,1,17.56901799205218,2.7397911327789597,19.21049434825635,0.0
PJM,2,23.03075738150477,2.226247668248746,20.836204721542227,0.0
PJM,3,25.864662859425636,2.384441809120369,27.53785605113607,0.0
PJM,4,20.12878721289598,2.8901747503531063,31.894422506069322,0.0
PJM,5,13.812578827956003,4.94709009668621,45.925969398762014,0.0
PJM,6,17.8784819395279,4.840049066475975,50.062761450764285,0.0
PJM,7,19.991484590930938,5.122408830501608,57.917751094155356,0.0
PJM,8,17.56661335335183,4.735534242844935,52.894349214583585,0.0
PJM,9,27.335878001298404,5.421048799988865,47.50747127561309,0.0
PJM,10,26.31244347217898,5.143969626581896,39.891870249204565,0.0
PJM,11,18.709946950968313,2.9563907759558927,32.251101951784754,0.0
PJM,12,21.37540829443293,2.827062862926646,21.807833827923478,0.0
MISO,1,17.528777873408945,4.884630863997962,23.62483571645103,0.0
MISO,2,37.811061076856525,4.327212250190627,23.06429875731888,0.0
MISO,3,19.290173691512965,3.8031936915049065,27.366734122832977,0.0
MISO,4,18.87288469141794,6.483500365097658,33.15153206860741,0.0
MISO,5,12.552991499559186,10.104763591526664,36.969742038046505,0.0
MISO,6,19.612810925060337,7.961017652438097,42.86983664115379,0.0
MISO,7,18.159768280064252,7.16109843279864,48.92012392849234,0.0
MISO,8,18.261517036236967,6.987549706530517,45.215300376859716,0.0
MISO,9,23.247152726348574,9.250178044387612,43.41421719356689,0.0
MISO,10,17.374670230844544,6.887509913760423,38.5749204687351,0.0
MISO,11,22.54314998801612,4.780153326037666,29.452036795627706,0.0
MISO,12,15.574020395545679,6.090686527150472,21.489969846371864,0.0
ISONE,1,14.910826547051682,10.130737386161165,19.448673704589766,0.0
ISONE,2,32.499737674697066,6.601826127866737,17.471943816606938,0.0
ISONE,3,15.531028986847083,5.805022703808852,19.07799332809686,0.0
ISONE,4,17.52169529483669,4.4347330368271045,23.026976190149092,0.0
ISONE,5,27.08077721195463,5.129449551239576,23.239526844599418,0.0
ISONE,6,28.825585076062303,1.6552913671366902,32.42829430520914,0.0
ISONE,7,18.93126353879577,5.181013844350282,39.70462003817873,0.0
ISONE,8,28.759376796890102,4.4445105703532475,29.687521448730894,0.0
ISONE,9,22.328369925291447,5.051769598133176,23.788592002103805,0.0
ISONE,10,25.108570931673842,6.667403676776319,28.448635914660596,0.0
ISONE,11,24.183236058369268,4.627961569761373,26.251354581793095,0.0
ISONE,12,22.991231799015402,7.677547265124216,16.849629611209362,0.0
NYISO,1,29.521427686737546,3.8136141860170736,21.370810623239223,0.0
NYISO,2,21.268458566582243,3.058527927442104,14.763266376927199,0.0
NYISO,3,22.52259005479914,3.486105384991088,19.31647031720166,0.0
NYISO,4,25.27112689369998,2.4136398429636023,21.922452442494183,0.0
NYISO,5,29.877541439024316,3.7651594403982176,27.033710294491257,0.0
NYISO,6,34.28063365275478,2.1633600743365577,36.656344511907896,0.0
NYISO,7,22.35870359459154,2.841547916075874,38.89860686673603,0.0
NYISO,8,23.085410811415056,2.88415537976883,31.196581874849617,0.0
NYISO,9,25.301372911715095,2.685336782456672,26.907693569482575,0.0
NYISO,10,32.68006436412866,3.385446307066211,27.52202777225343,0.0
NYISO,11,32.66436849636011,3.012297298149583,24.674915815496973,0.0
NYISO,12,15.09957107263208,1.9899774746642902,20.890061074852376,0.0
