region,month,incentive,sys,rte,savings
CAISO,7,mef,maxflex,0.6,-18.904456001732406
CAISO,7,dam,maxflex,0.6,-3.320279840673377
CAISO,7,aef,maxflex,0.6,-29.911760464311143
CAISO,7,tariff,maxflex,0.6,-31.22433009287914
CAISO,7,mef,25uptime_0flex,0.6,-35.99502598948152
CAISO,7,dam,25uptime_0flex,0.6,-10.124020865748806
CAISO,7,aef,25uptime_0flex,0.6,-33.23805540441726
CAISO,7,tariff,25uptime_0flex,0.6,-31.22433009287914
CAISO,7,mef,50uptime_50flex,0.6,-41.1284973427627
CAISO,7,dam,50uptime_50flex,0.6,-14.702696095191596
CAISO,7,aef,50uptime_50flex,0.6,-36.21694629142468
CAISO,7,tariff,50uptime_50flex,0.6,-31.22433009287914
CAISO,7,mef,100uptime_25flex,0.6,-61.77952505558125
CAISO,7,dam,100uptime_25flex,0.6,-55.10034241573239
CAISO,7,aef,100uptime_25flex,0.6,-60.5719864099718
CAISO,7,tariff,100uptime_25flex,0.6,-57.80608252322111
CAISO,7,mef,maxflex,0.6102564102564102,-16.906061783215897
CAISO,7,dam,maxflex,0.6102564102564102,-1.5838045492334871
CAISO,7,aef,maxflex,0.6102564102564102,-27.728369532137854
CAISO,7,tariff,maxflex,0.6102564102564102,-29.018879166947567
CAISO,7,mef,25uptime_0flex,0.6102564102564102,-33.709395300582656
CAISO,7,dam,25uptime_0flex,0.6102564102564102,-8.273196985652202
CAISO,7,aef,25uptime_0flex,0.6102564102564102,-30.99876035560353
CAISO,7,tariff,25uptime_0flex,0.6102564102564102,-29.018879166947567
CAISO,7,mef,50uptime_50flex,0.6102564102564102,-38.75658982439697
CAISO,7,dam,50uptime_50flex,0.6102564102564102,-12.774919690230412
CAISO,7,aef,50uptime_50flex,0.6102564102564102,-33.927585849552
CAISO,7,tariff,50uptime_50flex,0.6102564102564102,-29.018879166947567
CAISO,7,mef,100uptime_25flex,0.6102564102564102,-59.06054144120168
CAISO,7,dam,100uptime_25flex,0.6102564102564102,-52.493613971770465
CAISO,7,aef,100uptime_25flex,0.6102564102564102,-57.87329756274533
CAISO,7,tariff,100uptime_25flex,0.6102564102564102,-55.15387945559802
CAISO,7,mef,maxflex,0.6205128205128205,-14.973730183493315
CAISO,7,dam,maxflex,0.6205128205128205,0.09526660034063125
CAISO,7,aef,maxflex,0.6205128205128205,-25.61715681259837
CAISO,7,tariff,maxflex,0.6205128205128205,-26.88633570964321
CAISO,7,mef,25uptime_0flex,0.6205128205128205,-31.49932265098625
CAISO,7,dam,25uptime_0flex,0.6205128205128205,-6.483557366054627
CAISO,7,aef,25uptime_0flex,0.6205128205128205,-28.833491589395194
CAISO,7,tariff,25uptime_0flex,0.6205128205128205,-26.88633570964321
CAISO,7,mef,50uptime_50flex,0.6205128205128205,-36.46309247192759
CAISO,7,dam,50uptime_50flex,0.6205128205128205,-10.91087143088776
CAISO,7,aef,50uptime_50flex,0.6205128205128205,-31.71390674460073
CAISO,7,tariff,50uptime_50flex,0.6205128205128205,-26.88633570964321
CAISO,7,mef,100uptime_25flex,0.6205128205128205,-56.43144158266948
CAISO,7,dam,100uptime_25flex,0.6205128205128205,-49.97305836893134
CAISO,7,aef,100uptime_25flex,0.6205128205128205,-55.2638215699728
CAISO,7,tariff,100uptime_25flex,0.6205128205128205,-52.589352522445836
CAISO,7,mef,maxflex,0.6307692307692307,-13.104238635794234
CAISO,7,dam,maxflex,0.6307692307692307,1.7197338100911816
CAISO,7,aef,maxflex,0.6307692307692307,-23.574601417271577
CAISO,7,tariff,maxflex,0.6307692307692307,-24.82314325907978
CAISO,7,mef,25uptime_0flex,0.6307692307692307,-29.36112228267753
CAISO,7,dam,25uptime_0flex,0.6307692307692307,-4.752117408883004
CAISO,7,aef,25uptime_0flex,0.6307692307692307,-26.738638067616392
CAISO,7,tariff,25uptime_0flex,0.6307692307692307,-24.82314325907978
CAISO,7,mef,50uptime_50flex,0.6307692307692307,-34.24418039921334
CAISO,7,dam,50uptime_50flex,0.6307692307692307,-9.107442627133501
CAISO,7,aef,50uptime_50flex,0.6307692307692307,-29.57221720403813
CAISO,7,tariff,50uptime_50flex,0.6307692307692307,-24.82314325907978
CAISO,7,mef,100uptime_25flex,0.6307692307692307,-53.88784090652847
CAISO,7,dam,100uptime_25flex,0.6307692307692307,-47.53447205398934
CAISO,7,aef,100uptime_25flex,0.6307692307692307,-52.73920658509516
CAISO,7,tariff,100uptime_25flex,0.6307692307692307,-50.108224839156954
CAISO,7,mef,maxflex,0.641025641025641,-11.294570817621555
CAISO,7,dam,maxflex,0.641025641025641,3.2922180691297163
CAISO,7,aef,maxflex,0.641025641025641,-21.59740779459525
CAISO,7,tariff,maxflex,0.641025641025641,-22.825972966935236
CAISO,7,mef,25uptime_0flex,0.641025641025641,-27.291344326154682
CAISO,7,dam,25uptime_0flex,0.641025641025641,-3.0760835303408873
CAISO,7,aef,25uptime_0flex,0.641025641025641,-24.710819858534567
CAISO,7,tariff,25uptime_0flex,0.641025641025641,-22.825972966935236
CAISO,7,mef,50uptime_50flex,0.641025641025641,-32.09627351282596
CAISO,7,dam,50uptime_50flex,0.641025641025641,-7.36172354509939
CAISO,7,aef,50uptime_50flex,0.641025641025641,-27.49906172877356
CAISO,7,tariff,50uptime_50flex,0.641025641025641,-22.825972966935236
CAISO,7,mef,100uptime_25flex,0.641025641025641,-51.42563545202404
CAISO,7,dam,100uptime_25flex,0.641025641025641,-45.17392050112553
CAISO,7,aef,100uptime_25flex,0.641025641025641,-50.29537927973358
CAISO,7,tariff,100uptime_25flex,0.641025641025641,-47.70649324172915
CAISO,7,mef,maxflex,0.6512820512820513,-9.541900411044814
CAISO,7,dam,maxflex,0.6512820512820513,4.815175264891457
CAISO,7,aef,maxflex,0.6512820512820513,-19.68248798680633
CAISO,7,tariff,maxflex,0.6512820512820513,-20.89170567611618
CAISO,7,mef,25uptime_0flex,0.6512820512820513,-25.28675622653018
CAISO,7,dam,25uptime_0flex,0.6512820512820513,-1.4528381204142513
CAISO,7,aef,25uptime_0flex,0.6512820512820513,-22.746869939502517
CAISO,7,tariff,25uptime_0flex,0.6512820512820513,-20.89170567611618
CAISO,7,mef,50uptime_50flex,0.6512820512820513,-30.016017237033367
CAISO,7,dam,50uptime_50flex,0.6512820512820513,-5.6709877412394984
CAISO,7,aef,50uptime_50flex,0.6512820512820513,-25.491202488950293
CAISO,7,tariff,50uptime_50flex,0.6512820512820513,-20.89170567611618
CAISO,7,mef,100uptime_25flex,0.6512820512820513,-49.04097977561416
CAISO,7,dam,100uptime_25flex,0.6512820512820513,-42.887717028666806
CAISO,7,aef,100uptime_25flex,0.6512820512820513,-47.928522913123594
