continuous_flex_pct,system_uptime_pct,max_mef_savings,max_aef_savings,max_lmp_savings,max_tariff_savings
0.0,0.0,21.20375926228627,0.0,68.3948248154517,0.0
10.0,0.0,21.20375926228627,0.0,68.3948248154517,0.0
20.0,0.0,21.20375926228627,0.0,68.3948248154517,0.0
30.000000000000004,0.0,21.20375926228627,0.0,68.3948248154517,0.0
40.0,0.0,21.20375926228627,0.0,68.3948248154517,0.0
50.0,0.0,21.20375926228627,0.0,68.3948248154517,0.0
60.00000000000001,0.0,21.20375926228627,0.0,68.3948248154517,0.0
70.0,0.0,21.20375926228627,0.0,68.3948248154517,0.0
80.0,0.0,21.20375926228627,0.0,68.3948248154517,0.0
90.0,0.0,21.20375926228627,0.0,68.3948248154517,0.0
100.0,0.0,21.203759262286255,0.0,68.3948248154517,0.0
0.0,8.333333333333332,20.45093897398411,0.0,67.98244870199889,0.0
10.0,8.333333333333332,20.526221002814328,0.0,68.02368631334417,0.0
20.0,8.333333333333332,20.601503031644544,0.0,68.06492392468945,0.0
30.000000000000004,8.333333333333332,20.67678506047476,0.0,68.10616153603473,0.0
40.0,8.333333333333332,20.75206708930498,0.0,68.14739914738001,0.0
50.0,8.333333333333332,20.827349118135196,0.0,68.1886367587253,0.0
60.00000000000001,8.333333333333332,20.902631146965412,0.0,68.22987437007058,0.0
70.0,8.333333333333332,20.97791317579563,0.0,68.27111198141586,0.0
80.0,8.333333333333332,21.05319520462585,0.0,68.31234959276114,0.0
90.0,8.333333333333332,21.128477233456053,0.0,68.35358720410642,0.0
100.0,8.333333333333332,21.20375926228627,0.0,68.3948248154517,0.0
0.0,16.666666666666664,17.657971603865104,0.0,67.2708847636504,0.0
10.0,16.666666666666664,18.015136743362792,0.0,67.41347549235537,0.0
20.0,16.666666666666664,18.37230188286051,0.0,67.55606622106036,0.0
30.000000000000004,16.666666666666664,18.72297798881774,0.0,67.69270408852618,0.0
40.0,16.666666666666664,18.96982955812722,0.0,67.73409617616515,0.0
50.0,16.666666666666664,19.2166811274367,0.0,67.77548826380409,0.0
60.00000000000001,16.666666666666664,19.46353269674618,0.0,67.81688035144305,0.0
70.0,16.666666666666664,19.710384266055648,0.0,67.85827243908201,0.0
80.0,16.666666666666664,19.957235835365157,0.0,67.89966452672097,0.0
90.0,16.666666666666664,20.204087404674627,0.0,67.94105661435992,0.0
100.0,16.666666666666664,20.45093897398411,0.0,67.98244870199889,0.0
0.0,25.0,15.946274235397276,0.0,66.63464013235574,0.0
10.0,25.0,16.39800848841325,0.0,66.77325091599884,0.0
20.0,25.0,16.776812888547635,0.0,66.90428712805253,0.0
