month,hour,co2_eq_kg_per_MWh
1,0,265.93557023867675
1,1,263.6691001967176
1,2,260.8484986873914
1,3,257.2695359242692
1,4,253.59230070172245
1,5,250.5714976713506
1,6,248.2211851795232
1,7,244.87843905655598
1,8,244.81928677269858
1,9,244.42447459208074
1,10,246.2381238976908
1,11,249.77227614505085
1,12,253.36129170937085
1,13,256.4439689169629
1,14,255.70539157268627
1,15,254.74294739084962
1,16,252.35450347847808
1,17,251.3857775479508
1,18,251.36248383096557
1,19,251.68091007336363
1,20,253.74805003214323
1,21,257.7651142003851
1,22,262.46682217812065
1,23,267.5134356980163
2,0,270.421077312386
2,1,267.8120741919623
2,2,264.86787663569015
2,3,261.0422720991211
2,4,255.46189875143764
2,5,252.25006404588677
2,6,252.1515263511549
2,7,250.45534807801462
2,8,249.810315529956
2,9,249.48109289825086
2,10,252.34797729578264
2,11,257.6310282703593
2,12,262.1504127008476
2,13,262.7414386015158
2,14,259.98847813286886
2,15,256.02355532036705
2,16,254.0055447092413
2,17,252.99277136265073
2,18,252.86986534048626
2,19,252.05195669370687
2,20,253.52649493775013
2,21,256.56443862524924
2,22,261.83968935188346
2,23,267.9676280795923
3,0,285.99141948201355
3,1,284.89369678923197
3,2,286.3311917177235
3,3,283.93975892818827
3,4,284.9041375814959
3,5,286.4573450441026
3,6,288.1701099900144
3,7,287.9237314349141
3,8,288.59085232705127
3,9,291.223719243271
3,10,290.7194453750395
3,11,290.51863639314774
3,12,287.44914268904114
3,13,286.49310763063454
3,14,282.22213585342973
3,15,278.9777144544532
3,16,277.8309221530215
3,17,274.94164633989044
3,18,274.08399819559105
3,19,275.0731639878301
3,20,276.0638979907874
3,21,280.9242118805517
3,22,285.1682257379083
3,23,286.72328428387607
4,0,315.78613615015746
4,1,315.2334988063139
4,2,315.98747877380333
4,3,317.3210034006543
4,4,320.27299687971737
4,5,322.96341204810926
4,6,321.65709479500754
4,7,322.1285557033716
4,8,322.77754567810496
4,9,325.0537384698302
4,10,324.24673721959874
4,11,320.0116810796566
4,12,315.74607358434514
4,13,311.4685521036288
4,14,308.9169135027348
4,15,309.23701440640735
4,16,312.23216769064567
4,17,313.96076490398747
4,18,313.00513905603606
4,19,312.8636970665004
4,20,312.7467542304169
4,21,313.5798088690052
4,22,313.61905180343786
4,23,316.5634815973896
5,0,248.0367461189334
5,1,248.44115464270297
5,2,246.02310150929466
5,3,244.40113918242818
5,4,237.8804206228513
5,5,236.56349564654903
5,6,231.62272387791012
5,7,227.8017116782891
5,8,227.1088874022006
5,9,225.92918746896055
5,10,230.98183271038562
5,11,233.68811499776675
5,12,233.7914195585237
5,13,233.06517064522146
5,14,230.99171609544408
5,15,227.2626988724036
5,16,227.11309142744827
5,17,226.20455640061178
5,18,227.96030725190178
5,19,230.34509619529496
5,20,233.1959718954997
5,21,238.56416533517853
5,22,241.9859831634524
5,23,245.48769670045957
6,0,290.08443027086554
6,1,290.4454521272589
6,2,290.84579589311403
6,3,290.92510185107784
6,4,288.6165618454481
6,5,286.2083180159607
6,6,283.5986590824595
6,7,281.3848901760829
6,8,281.370437222992
6,9,283.29896498673696
6,10,284.56499819577493
6,11,284.5317222596845
6,12,284.32161649433687
6,13,286.4620400815713
6,14,288.3557741293231
6,15,288.03964604176065
6,16,288.43881481375234
6,17,289.67910243767227
6,18,290.4272122478318
6,19,290.209021276005
6,20,289.3593068896624
6,21,289.4357051303256
6,22,290.2093054923165
6,23,291.3972750655641
7,0,317.89217792755227
7,1,320.17604240214706
7,2,318.99898450724254
7,3,317.44854217513904
7,4,318.0663084849359
7,5,314.45651126690535
7,6,308.44645721481436
7,7,305.0216294083678
7,8,303.80234548142454
7,9,303.9940198357786
7,10,306.09649431137507
7,11,307.3771025546419
7,12,302.99425447758995
7,13,305.4373656873799
7,14,308.6889377067125
7,15,311.17501193260784
7,16,313.4494454005771
7,17,316.00710563004935
7,18,314.67718961767093
7,19,314.88045561557306
7,20,314.7832817393431
7,21,313.9295537223478
7,22,313.3005810816399
7,23,313.4390674444349
8,0,300.26242426522964
8,1,299.3940120052134
8,2,296.2299841967117
8,3,293.548144270393
8,4,293.51408759544046
8,5,288.2117968672131
8,6,284.7504036199134
8,7,282.6921119748779
8,8,282.56875245539374
8,9,282.9128196197513
8,10,286.41724655263965
8,11,287.13691910235354
8,12,282.20358775089534
8,13,281.815249153077
8,14,284.3388345915924
8,15,286.3025929923253
8,16,288.2646366557541
8,17,290.2949615661469
8,18,292.25588645722036
8,19,294.61682584097
8,20,295.2361815520614
8,21,296.72093712529124
8,22,296.24592028184566
8,23,298.4966742719525
9,0,293.10942064709826
9,1,291.94892540839027
9,2,287.5690890315503
9,3,283.5625621445424
9,4,287.2993588781006
9,5,281.70061210096793
9,6,279.263025359015
9,7,277.34364629116953
9,8,277.44250202975815
9,9,278.71696426483084
9,10,282.21873355711836
9,11,284.45507655522437
9,12,279.75602553576306
9,13,280.37475277045564
9,14,281.3472559705326
9,15,281.8421795106817
9,16,283.6288217576232
9,17,286.5513939168096
9,18,288.296355538003
9,19,288.86748903438314
9,20,290.12762171479267
9,21,290.68366928836815
9,22,290.6946228646141
9,23,293.12236065780803
10,0,259.1634843812646
10,1,258.20207885149574
10,2,252.94639389424242
10,3,251.42989162742919
10,4,249.4152861447893
10,5,247.1350115170692
10,6,246.45365402485902
10,7,244.68178212353038
10,8,243.3721833543123
10,9,245.82532182196869
10,10,251.16199566161984
10,11,255.4761465543941
10,12,253.59339537489183
10,13,252.38714072333698
10,14,251.1353953178044
10,15,248.34460537078647
10,16,249.07991085515565
10,17,249.10733246961766
10,18,251.15567321833183
10,19,253.13025360133918
10,20,254.98403232407315
10,21,258.1298539324715
10,22,259.6737626436813
10,23,259.61845976044907
11,0,268.76523731860556
11,1,267.86249627655656
11,2,264.45029456457013
11,3,261.3797260753457
11,4,259.0650039115408
11,5,259.6670789345238
11,6,260.37564421581027
11,7,258.82056046158533
11,8,259.82034794935015
11,9,260.41308664592844
11,10,262.5832546002859
11,11,266.9593213101324
11,12,268.4298118395228
11,13,265.14122282364184
11,14,263.2847625417589
11,15,258.30194752865714
11,16,255.37007420235585
11,17,253.6579817755538
11,18,253.8351817487777
11,19,255.56524421780247
11,20,258.22142841802446
11,21,262.2250243636835
11,22,265.24621337666287
11,23,267.42858889349657
12,0,270.33570000168066
12,1,269.08761572918996
12,2,266.8708720835024
12,3,262.9843912373523
12,4,259.951648651883
12,5,263.078656664218
12,6,262.49707217356087
12,7,259.92452837392614
12,8,258.50218223238033
12,9,258.42783780362424
12,10,260.31176210691586
12,11,264.92537211882166
12,12,266.0775295007955
12,13,263.46933066418916
12,14,264.73603996395354
12,15,263.0541840577834
12,16,261.2517129283129
12,17,260.33065460595543
12,18,261.1043339339557
12,19,262.25363250773216
12,20,263.80251347560915
12,21,266.5951136110276
12,22,269.0703067624881
