month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,93.01529431136072,1168.4595268817206,1257.4975483870967,9.33764780801585,8.38040716028779
2,79.6700659194671,605.7425287356322,648.8945287356322,9.471573788310938,8.929940005217063
3,46.4960103926165,503.26405161290324,565.3923096774193,9.323947410200635,7.987741205088854
4,37.492399145794565,499.32764444444445,542.0371555555556,9.562076372478808,8.422925192259449
5,95.98749428320761,495.6570322580645,597.0899784946237,9.992648570185912,8.935917732131008
6,29.274331472582443,536.6095111111111,548.9693333333333,9.615352796029725,9.193145992056943
7,223.78455400446444,625.4515268817204,636.3078709677419,10.776769738572103,10.728257266849146
8,33.393302358075985,586.4670107526881,591.8880860215054,10.814865838700895,10.652525652134315
9,2.5886795444159745,575.4015111111111,576.4589333333332,9.762532057827675,9.354052685162054
10,366.89812534634405,601.4276129032258,639.3051182795699,9.044182634765383,8.94094552590415
11,341.6390593271495,620.7440315412186,687.1890093189963,8.901339446208189,8.706850635437403
12,100.75271455833013,1322.814193548387,1335.827010752688,9.383911068663672,9.254755082605945
