month,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
1,219.4404152046207,387.1893156666667,703.9860033333334,16.801119497250916,15.357462524687952
2,142.77899590179976,5.601152412645593,259.3603034941764,16.14147126386093,14.364184989707056
3,274.2123481834389,-52.739708457711444,196.01608988391376,17.086992736809282,16.17982791637934
4,158.9880248948313,63.45445243198681,294.77850222588626,16.415912973113414,14.960935163576895
5,61.06345562964299,150.48280260798694,324.04713219233906,18.122906879113017,15.280546793460388
6,90.43043561133992,364.05725585429315,661.8049647875108,18.244274697955916,14.951713891231504
7,86.18798890335465,59.780790713671536,460.51082020843836,18.193904616099644,13.544416517679824
8,225.30933660557127,370.41032306382976,1552.939053276596,20.003772652373996,14.755305164185438
9,53.567280889666264,396.5359096006797,567.0998198810536,18.647925810955808,15.463819638084809
10,134.21090252178496,134.60382905405407,510.297973330886,16.839684163917266,14.040402318139195
11,89.41796314478403,211.2018725127888,494.40162086613594,18.675214722609155,15.508068687302856
12,185.30051871794183,772.0038857610474,981.8951790507365,17.249121573250658,16.116414050957246
