system_uptime,continuous_flex,shadow_price_usd_ton
0.0,0.0,0.0
0.0,0.1,0.0
0.0,0.2,0.0
0.0,0.30000000000000004,0.0
0.0,0.4,0.0
0.0,0.5,0.0
0.0,0.6000000000000001,0.0
0.0,0.7000000000000001,0.0
0.0,0.8,0.0
0.0,0.9,0.0
0.0,1.0,0.0
0.041666666666666664,0.0,0.0
0.041666666666666664,0.1,0.0
0.041666666666666664,0.2,0.0
0.041666666666666664,0.30000000000000004,0.0
0.041666666666666664,0.4,0.0
0.041666666666666664,0.5,0.0
0.041666666666666664,0.6000000000000001,0.0
0.041666666666666664,0.7000000000000001,0.0
0.041666666666666664,0.8,0.0
0.041666666666666664,0.9,0.0
0.041666666666666664,1.0,0.0
0.08333333333333333,0.0,969.3788369036979
0.08333333333333333,0.1,969.3836802890189
0.08333333333333333,0.2,969.3897345887032
0.08333333333333333,0.30000000000000004,969.3975187994357
0.08333333333333333,0.4,969.4078979415502
0.08333333333333333,0.5,969.4224291139095
0.08333333333333333,0.6000000000000001,969.4442266892981
0.08333333333333333,0.7000000000000001,969.4805581599686
0.08333333333333333,0.8,969.5532292714203
0.08333333333333333,0.9,969.7713079886187
0.08333333333333333,1.0,0.0
0.125,0.0,555.7171641291538
0.125,0.1,528.7190339724648
0.125,0.2,597.9195326686587
0.125,0.30000000000000004,674.9778437428295
0.125,0.4,761.3129278713454
0.125,0.5,826.2963400210141
0.125,0.6000000000000001,830.9320698464252
0.125,0.7000000000000001,836.2796726593018
0.125,0.8,842.516760943837
0.125,0.9,849.8853927207816
0.125,1.0,858.724217049838
0.16666666666666666,0.0,378.5707784926125
0.16666666666666666,0.1,404.3377830171998
0.16666666666666666,0.2,429.5405867713867
0.16666666666666666,0.30000000000000004,452.88105678491615
0.16666666666666666,0.4,493.0911984890313
0.16666666666666666,0.5,541.8274656205645
0.16666666666666666,0.6000000000000001,594.6294426387926
0.16666666666666666,0.7000000000000001,652.0280328366882
0.16666666666666666,0.8,714.6507802881056
0.16666666666666666,0.9,783.2449077553781
0.16666666666666666,1.0,858.7072748629201
0.20833333333333334,0.0,539.2089650419249
0.20833333333333334,0.1,373.3613873980855
0.20833333333333334,0.2,333.6786419766631
0.20833333333333334,0.30000000000000004,356.75745989925053
0.20833333333333334,0.4,388.1279647629187
0.20833333333333334,0.5,422.07040596278534
0.20833333333333334,0.6000000000000001,464.78358749527547
0.20833333333333334,0.7000000000000001,491.58169293443586
0.20833333333333334,0.8,525.2590958132995
0.20833333333333334,0.9,560.6597936173986
0.20833333333333334,1.0,597.9195326686555
0.25,0.0,363.9620669444085
0.25,0.1,378.8975454942093
0.25,0.2,391.24791937362943
0.25,0.30000000000000004,356.1048909900341
0.25,0.4,324.7463297694697
0.25,0.5,332.6434901739315
0.25,0.6000000000000001,356.24907078193274
0.25,0.7000000000000001,381.2807661631582
0.25,0.8,407.8718383870632
0.25,0.9,436.17268672626574
0.25,1.0,465.5683946653137
0.2916666666666667,0.0,687.7587955133513
0.2916666666666667,0.1,484.3988242597422
0.2916666666666667,0.2,436.24987967168926
0.2916666666666667,0.30000000000000004,470.96805387094344
0.2916666666666667,0.4,442.1428282929329
0.2916666666666667,0.5,401.8543274711134
0.2916666666666667,0.6000000000000001,366.160972994265
0.2916666666666667,0.7000000000000001,342.1611428526994
0.2916666666666667,0.8,351.92551575449556
0.2916666666666667,0.9,362.00613099890006
0.2916666666666667,1.0,372.41860485676807
0.3333333333333333,0.0,581.1367979938526
0.3333333333333333,0.1,631.8802295387612
0.3333333333333333,0.2,463.64740547053106
0.3333333333333333,0.30000000000000004,399.47430825913466
0.3333333333333333,0.4,425.38176242197505
0.3333333333333333,0.5,453.2014569474606
0.3333333333333333,0.6000000000000001,419.738111439953
0.3333333333333333,0.7000000000000001,389.7847924555038
0.3333333333333333,0.8,362.816761478891
0.3333333333333333,0.9,337.4500591974935
0.3333333333333333,1.0,314.3597009426319
0.375,0.0,535.545747678242
0.375,0.1,536.564359161046
0.375,0.2,600.9541292266388
0.375,0.30000000000000004,469.0007188227574
0.375,0.4,368.5787011441682
0.375,0.5,389.08619860482946
0.375,0.6000000000000001,410.1148970758651
0.375,0.7000000000000001,432.5086254092112
0.375,0.8,415.22393497400225
0.375,0.9,392.8852882569545
