region,system,month,tariff_id,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
ISONE,maxflex,1,539fba79ec4f024bc1dc2df9,-0.0,12474.872,12474.872,237.36037949176935,227.10248273722598
ISONE,maxflex,1,5903b55a5457a32d2ccd3b42,-0.0,137.56856,137.56856,237.36037949176935,227.10248273722598
ISONE,maxflex,1,5903b68e5457a3eb30cd3b42,-0.0,59.22368,59.22368,237.36037949176935,227.10248273722598
ISONE,maxflex,1,5908bba45457a316275789ff,397.2465348190923,325.0552599999999,16134.23776,266.8993874559219,227.10248273722598
ISONE,maxflex,1,5908bcd35457a3d2545789ff,250.68865450750144,312.70405999999974,10289.33656,266.8993874559219,227.10248273722598
ISONE,maxflex,1,59ca909d5457a39a10c8c1b6,-0.0,113.40048,113.40048,237.36037949176935,227.10248273722598
ISONE,maxflex,1,5cdc8b985457a3e86a40c5d9,-0.0,145.25012,145.25012,237.36037949176935,227.10248273722598
ISONE,maxflex,1,5cdc8d615457a3b62b40c5d9,-0.0,120.10764,120.10764,237.36037949176935,227.10248273722598
ISONE,maxflex,1,5cdc8e3d5457a3616340c5de,399.5335845436999,121.25955199999979,16021.459551999998,266.8993874559219,227.10248273722598
ISONE,maxflex,1,5cdd70fe5457a3552d40c5d1,586.7916150564714,131.2895519999998,23483.779552,266.8993874559219,227.10248273722598
ISONE,maxflex,1,5cdd72b55457a3232e40c5d1,379.26568353491075,117.97733527272665,12083.504608000001,258.6516784287819,227.10248273722598
ISONE,maxflex,1,5cdd759a5457a3232e40c5d2,338.11782574283865,1155.8205934545447,11823.166048000001,258.6516784287821,227.10248273722598
ISONE,maxflex,1,5cdd76cf5457a3e23240c5d1,338.11782574283865,1155.8205934545447,11823.166048000001,258.6516784287821,227.10248273722598
ISONE,maxflex,1,5d2361f45457a33d7bdc131d,91.07447216697554,115.69896571428595,3606.25468,265.42887245239666,227.10248273722598
ISONE,maxflex,1,5d3f20725457a3dc0edc8c3b,184.00948641414513,132.77480000000077,7455.7828,266.8993874559219,227.10248273722598
ISONE,maxflex,1,5d3f22485457a3d71ddc8c3c,126.24404667969127,161.88572680851092,3773.3032799999996,255.70911922355475,227.10248273722598
ISONE,maxflex,1,5d3f22995457a3f84fdc8c3d,109.87408204859706,209.33007446808472,3352.4579999999996,255.7091192235538,227.10248273722598
ISONE,maxflex,1,5d3f22ea5457a3fb4fdc8c3b,83.2995417638903,207.2368086118978,2609.0472,255.9358993406805,227.10248273722598
ISONE,maxflex,1,5e7bc2bc5457a33d3c7d5621,-0.0,101.1136,101.1136,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62e1b68918c25a05a818417a,-0.0,419.12584000000004,419.12584000000004,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62e1ba2404ed9a021938186a,-0.0,306.85168799999997,306.85168799999997,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62e1bc635024eb6c391d1d18,-0.0,309.7108799999999,309.7108799999999,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62e1be2a4ae16462f52d716c,-0.0,425.28615999999994,425.28615999999994,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62e1bf9e5604d7519862fdb8,-0.0,275.849208,275.849208,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62e1c06b5024eb6c391d1d19,-0.0,416.99055999999996,416.99055999999996,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62fbc841b357a24df92a1245,-0.0,416.61112,416.61112,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62fbc9bc1a5ac47b954c465a,-0.0,416.61112,416.61112,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62fbd888a48009076418a969,-0.0,424.90672,424.90672,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62fbd93161b9ea6af6620507,-0.0,424.90672,424.90672,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62fbdbcffbc0d6573764ee17,-0.0,418.7464,418.7464,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62fbdc298861fc005a74d6d8,-0.0,418.7464,418.7464,237.36037949176935,227.10248273722598
ISONE,maxflex,1,62fe9ee766a1d44d261df776,392.1394782325606,478.1945307718675,15778.305680000001,266.1194958017278,227.10248273722598
ISONE,maxflex,1,62fea1c38484e359eb4282e5,340.55783149601393,467.7701094736835,13054.09642526316,264.0604533030305,227.10248273722598
ISONE,maxflex,1,62feb9a3c2753041cf767896,438.49464887654455,1230.7477070676698,17436.620037894736,264.0604533030305,227.10248273722598
ISONE,maxflex,1,62fec4970cab311f710e99bb,336.1157728243267,1224.0831452631583,13646.23998736842,264.0604533030305,227.10248273722598
ISONE,maxflex,1,6304075dd9ca8264236c4eba,120.76441705112194,1505.8558400000002,6311.90584,266.8993874559219,227.10248273722598
ISONE,maxflex,1,6304117e36a8842e64487da8,120.76441705112194,1505.8558400000002,6311.90584,266.8993874559219,227.10248273722598
ISONE,maxflex,1,630538444623fe71b5779247,-0.0,297.823192,297.823192,237.36037949176935,227.10248273722598
ISONE,maxflex,1,630539d64623fe71b5779248,-0.0,229.411672,229.411672,237.36037949176935,227.10248273722598
ISONE,maxflex,1,630679df42461c1ff32959da,113.88574138862477,1144.5723759999992,5676.872376,266.8993874559219,227.10248273722598
ISONE,maxflex,1,63067d2a4ab72161d03eb707,113.88574138862475,840.2456239999998,5372.545624,266.8993874559219,227.10248273722598
ISONE,maxflex,1,639381fa61d25403340449f6,354.7163704372489,1805.1945599999995,15921.80816,266.8993874559219,227.10248273722598
